,Documento,Tipo de Cliente,Nombre,Correo,Teléfono,Saldo en Cuenta
161,Natural,Juan Pérez,juan.perez@email.com,3123456789,150050
272,Jurídica,Inversiones XYZ S.A.,contacto@xyz.com,3001234567,2030075
383,Natural,Laura Gómez,laura.gomez@email.com,3169876543,42000
494,Jurídica,Tech Solutions Ltda.,info@techsolutions.com,3509876543,15000000
505,Natural,Carlos Martínez,carlos.martinez@email.com,3145678901,78925
616,Natural,Andrea Rodríguez,andrea.rodri@email.com,3198765432,195080
727,Jurídica,Constructora Delta,contact@delta.com,3176543210,3250050
838,Natural,Pedro Ríos,pedro.rios@email.com,3132123456,98030
949,Natural,Isabel Mora,isabel.mora@email.com,3181239876,56000
050,Jurídica,Servicios ABC Ltda.,info@abcservicios.com,3043216789,2500040
162,Natural,Sofía Ruiz,sofia.ruiz@email.com,3206549876,112015
273,Jurídica,Agroindustrias S.A.,contacto@agroindustrias.com,3191234567,7800000
384,Natural,Ricardo Sánchez,ricardo.sanchez@email.com,3127890123,65000
495,Natural,Marta López,marta.lopez@email.com,3112345678,134500
506,Jurídica,Finanzas Globales,finanzas@globales.com,3156789012,9000075
